iter	Passed	Remaining
0	173	173435
1	228	113799
2	251	83638
3	294	73440
4	320	63791
5	357	59152
6	381	54181
7	422	52366
8	445	49018
9	459	45502
10	491	44155
11	521	42911
12	541	41115
13	564	39757
14	589	38731
15	606	37316	417	24145
17	428	23395
18	476	24604
19	502	24629
20	512	23900
21	549	24441
22	568	24155
23	588	23915
24	604	23587
25	675	25305
26	678	24447
27	699	24287
28	724	24268
29	758	24530
30	769	24042
31	790	23918
32	806	23618
33	854	24278
34	857	23646
35	864	23148
36	890	23169
37	930	23568
38	953	23502
39	959	23024
40	962	22503
41	965	22013
42	992	22097
43	1046	22737
44	1080	22938
45	1104	22903
46	1138	23090
47	1168	23175
48	1195	23210
49	1233	23442
50	1257	23394
51	1277	23281
52	1300	23240
53	1334	23372
54	1361	23400
55	1389	23415
56	1418	23466
57	1464	23787
58	1480	23605
59	1510	23657
60	1535	23642
61	1566	23702
62	1596	23742
63	1619	23688
64	1643	23639
65	1646	23294
66	1647	22944
67	1650	22617
68	1652	22301
69	1655	21994
70	1658	21695
71	1660	21404
72	1663	21123
73	1666	20853
74	1670	20603
75	1678	20401
76	1688	20244
77	1692	20009
78	1722	20078
79	1725	19840
80	1769	20079
81	1799	20140
82	1823	20141
83	1857	20257
84	1883	20270
85	1898	20176
86	1913	20085
87	1929	19996
88	1950	19968
89	1987	20096
90	1990	19884
91	2039	20128
92	2061	20102
93	2084	20092
94	2090	19918
95	2096	19743
96	2117	19713
97	2139	19692
98	2165	19712
99	2189	19707
100	2198	19572
101	2204	19404
102	2214	19287
103	2236	19271
104	2267	19327
105	2303	19430
106	2312	19297
107	2354	19443
108	2392	19559
109	2416	19553
110	2449	19616
111	2454	19462
112	2489	19542
113	2554	19855
114	2579	19847
115	2610	19891
116	2623	19801
117	2628	19645
118	2635	19513
119	2651	19443
120	2655	19288
121	2690	19360
122	2725	19430
123	2759	19496
124	2784	19490
125	2821	19571
126	2864	19692
127	2931	19973
128	2957	19969
129	2999	20073
130	3002	19915
131	3044	20022
132	3054	19910
133	3075	19874
134	3081	19742
135	3086	19609
136	3093	19483
137	3122	19501
138	3150	19516
139	3188	19589
140	3246	19776
141	3252	19651
142	3281	19667
143	3317	19722
144	3322	19590
145	3333	19499
146	3356	19478
147	3385	19492
148	3432	19602
149	3454	19573
150	3478	19560
151	3493	19492
152	3503	19393
153	3536	19427
154	3538	19293
155	3594	19445
156	3598	19319
157	3624	19317
158	3645	19281
159	3705	19451
160	3710	19336
161	3736	19326
162	3739	19200
163	3783	19288
164	3793	19196
165	3808	19134
166	3817	19041
167	3819	18917
168	3831	18841
169	3876	18927
170	3915	18983
171	3954	19035
172	3986	19058
173	4014	19059
174	4049	19092
175	4083	19118
176	4092	19028
177	4129	19069
178	4191	19226
179	4218	19219
180	4225	19119
181	4239	19053
182	4274	19082
183	4317	19147
184	4319	19030
185	4364	19100
186	4388	19079
187	4414	19067
188	4423	18980
189	4458	19005
190	4481	18983
191	4510	18982
192	4540	18984
193	4562	18954
194	4587	18938
195	4613	18925
196	4645	18935
197	4671	18922
198	4686	18862
199	4692	18768
200	4694	18662
201	4717	18635
202	4724	18546
203	4746	18521
204	4766	18483
205	4788	18455
206	4827	18495
207	4853	18482
208	4876	18457
209	4931	18550
210	4940	18474
211	4946	18386
212	4976	18387
213	5019	18436
214	5054	18456
215	5094	18489
216	5117	18464
217	5155	18491
218	5188	18501
219	5222	18516
220	5238	18463
221	5257	18423
222	5279	18393
223	5283	18304
224	5287	18213
225	5293	18129
226	5372	18294
227	5391	18256
228	5424	18264
229	5445	18231
230	5484	18257
231	5508	18234
232	5544	18252
233	5581	18269
234	5603	18242
235	5647	18283
236	5684	18302
237	5702	18256
238	5711	18184
239	5714	18095
240	5750	18109
241	5773	18083
242	5822	18138
243	5829	18062
244	5847	18021
245	5874	18005
246	5877	17919
247	5892	17866
248	5895	17780
249	5941	17825
250	5966	17803
251	5992	17787
252	5995	17701
253	6021	17684
254	6050	17676
255	6076	17660
256	6081	17581
257	6104	17555
258	6108	17476
259	6130	17447
260	6132	17364
261	6176	17398
262	6198	17370
263	6235	17384
264	6272	17396
265	6286	17347
266	6308	17317
267	6310	17236
268	6340	17231
269	6400	17304
270	6405	17231
271	6428	17204
272	6450	17176
273	6488	17192
274	6515	17176
275	6519	17100
276	6553	17106
277	6576	17080
278	6617	17102
279	6630	17050
280	6636	16980
281	6673	16990
282	6677	16918
283	6723	16951
284	6774	16996
285	6799	16975
286	6826	16959
287	6836	16901
288	6870	16903
289	6891	16871
290	6940	16910
291	6954	16861
292	6976	16833
293	6999	16807
294	7034	16811
295	7050	16769
296	7103	16814
297	7110	16751
298	7157	16781
299	7192	16781
300	7200	16721
301	7231	16713
302	7260	16700
303	7264	16631
304	7288	16608
305	7315	16590
306	7339	16567
307	7365	16549
308	7382	16509
309	7387	16442
310	7397	16389
311	7430	16384
312	7454	16361
313	7497	16378
314	7522	16359
315	7545	16332
316	7570	16310
317	7598	16296
318	7622	16273
319	7647	16250
320	7671	16227
321	7691	16195
322	7699	16138
323	7754	16178
324	7781	16161
325	7790	16106
326	7810	16074
327	7836	16055
328	7856	16022
329	7889	16019
330	7912	15991
331	7942	15981
332	7971	15967
333	8009	15971
334	8038	15956
335	8102	16011
336	8142	16018
337	8163	15988
338	8192	15975
339	8230	15977
340	8252	15948
341	8278	15927
342	8342	15980
343	8382	15984
344	8397	15943
345	8432	15939
346	8439	15881
347	8461	15852
348	8464	15789
349	8495	15777
350	8523	15760
351	8545	15731
352	8548	15667
353	8574	15647
354	8577	15583
355	8613	15581
356	8652	15584
357	8687	15578
358	8718	15566
359	8736	15531
360	8787	15555
361	8861	15617
362	8883	15589
363	8894	15540
364	8927	15530
365	8953	15509
366	8994	15513
367	9029	15506
368	9062	15496
369	9107	15508
370	9134	15486
371	9152	15450
372	9174	15422
373	9180	15366
374	9186	15310
375	9210	15285
376	9219	15234
377	9230	15187
378	9257	15168
379	9281	15144
380	9332	15162
381	9372	15163
382	9413	15165
383	9426	15121
384	9474	15135
385	9502	15115
386	9507	15060
387	9510	15001
388	9543	14989
389	9553	14942
390	9595	14945
391	9662	14986
392	9708	14995
393	9749	14995
394	9772	14967
395	9778	14914
396	9805	14893
397	9815	14846
398	9818	14789
399	9869	14803
400	9875	14751
401	9883	14702
402	9905	14674
403	9915	14627
404	9944	14609
405	9952	14561
406	9955	14505
407	9981	14483
408	10013	14469
409	10022	14423
410	10037	14384
411	10057	14354
412	10064	14304
413	10088	14279
414	10092	14227
415	10122	14211
416	10141	14178
417	10153	14136
418	10181	14117
419	10201	14087
420	10248	14095
421	10310	14121
422	10312	14066
423	10322	14023
424	10347	13999
425	10356	13954
426	10366	13910
427	10396	13895
428	10407	13852
429	10444	13844
430	10502	13865
431	10554	13876
432	10577	13850
433	10583	13802
434	10615	13788
435	10619	13737
436	10653	13724
437	10673	13695
438	10697	13670
439	10701	13620
440	10735	13608
441	10772	13599
442	10834	13623
443	10870	13612
444	10895	13588
445	10906	13548
446	10943	13539
447	10950	13492
448	10978	13472
449	11008	13454
450	11022	13417
451	11025	13366
452	11028	13316
453	11045	13284
454	11066	13254
455	11073	13210
456	11098	13187
457	11131	13172
458	11175	13171
459	11179	13123
460	11211	13108
461	11232	13080
462	11269	13070
463	11298	13051
464	11408	13125
465	11414	13080
466	11425	13040
467	11467	13035
468	11477	12994
469	11493	12960
470	11519	12938
471	11544	12914
472	11579	12901
473	11634	12910
474	11642	12868
475	11647	12822
476	11675	12801
477	11701	12778
478	11742	12772
479	11747	12725
480	11776	12707
481	11789	12669
482	11824	12656
483	11856	12640
484	11886	12622
485	11889	12574
486	11928	12565
487	11941	12528
488	11970	12508
489	12026	12517
490	12031	12472
491	12063	12455
492	12105	12449
493	12150	12445
494	12182	12428
495	12218	12415
496	12246	12394
497	12280	12379
498	12351	12401
499	12417	12417
500	12479	12429
501	12507	12407
502	12540	12390
503	12598	12398
504	12628	12378
505	12681	12380
506	12764	12411
507	12790	12387
508	12833	12379
509	12858	12354
510	12879	12324
511	12904	12300
512	12943	122851513	12966	1226512	13582	12894
513	13612	12870
514	13644	12849
515	13675	12827
516	13708	12807
517	13734	12779
518	13806	12795
519	13832	12768
520	13856	12739
521	13893	12722
522	13922	12697
523	13968	12689
524	14011	12677
525	14017	12631
526	14026	12589
527	14053	12562
528	14089	12544
529	14120	12522
530	14127	12477
531	14154	12452
532	14176	12421
533	14218	12408
534	14246	12382
53537	13753	11810
538	13780	11786
539	13804	11759
540	13808	11715
541	13821	11679
542	13846	11653
543	13870	11627
544	13894	11599
545	13906	11563
546	13946	11549
547	13961	11515
548	13991	11494
549	14001	11456
550	14033	11436
551	14064	11414
552	14107	11403
553	14148	11389
554	14152	11347
555	14189	11331
556	14217	11307
557	14241	11281
558	14268	11256
559	14294	11231
560	14327	11211
561	14389	11214
562	14394	11172
563	14430	11155
564	14464	11136
565	14510	11126
566	14549	11111
567	14573	11084
568	14617	11072
569	14630	11037
570	14678	11028
571	14714	11010
572	14755	10995
573	14777	10967
574	14783	10926
575	14787	10885
576	14849	10886
577	14893	10873
578	14931	10857
579	14955	10830
580	14973	10798
581	15009	10779
582	15031	10751
583	15054	10723
584	15110	10719
585	15115	10678
586	15148	10658
587	15169	10629
588	15176	10589
589	15202	10564
590	15241	10547
591	15247	10508
592	15290	10494
593	15314	10467
594	15334	10437
595	15367	10416
596	15370	10375
597	15389	10345
598	15392	10304
599	15430	10286
600	15462	10265
601	15504	10250
602	15535	10227
603	15544	10191
604	15588	10177
605	15651	10175
606	15655	10136
607	15701	10123
608	15708	10085
609	15750	10069
610	15801	10060
611	15804	10019
612	15832	9995
613	15865	9973
614	15869	9934
615	15889	9905
616	15899	9869
617	15902	9829
618	15907	9791
619	15911	9752
620	15927	9720
621	15937	9685
622	15957	9656
623	15999	9640
624	16058	9635
625	16081	9607
626	16114	9586
627	16127	9553
628	16161	9532
629	16196	9511
630	16231	9491
631	16256	9465
632	16290	9444
633	16301	9410
634	16360	9403
635	16388	9379
636	16409	9350
637	16432	9323
638	16437	9286
639	16445	9250
640	16448	9212
641	16473	9185
642	16519	9171
643	16577	9164
644	16627	9151
645	16662	9130
646	16685	9103
647	16712	9078
648	16751	9059
649	16803	9048
650	16808	9011
651	16839	8987
652	16845	8951
653	16869	8924
654	16872	8887
655	16885	8854
656	16909	8827
657	16914	8791
658	16920	8755
659	16928	8720
660	16933	8684
661	16970	8664
662	16998	8640
663	17026	8615
664	17065	8597
665	17093	8572
666	17130	8552
667	17134	8515
668	17198	8509
669	17222	8482
670	17306	8485
671	17319	8453
672	17351	8430
673	17375	8404
674	17413	8384
675	17450	8363
676	17472	8336
677	17476	8299
678	17485	8266
679	17515	8242
680	17580	8235
